X,Y,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,ObjectId
-73.260437,42.456535,Food Mart,185 Linden St,,Pittsfield,MA,01201,3241,BERKSHIRE,-73.260437,42.456535,56848
-71.584038,42.665215,Pepperell Quality Market,75 Main St,,Pepperell,MA,01463,1527,MIDDLESEX,-71.584038,42.665215,56853
-71.137459,42.393616,Ferro's Foodtown ,336 Rindge Ave,,Cambridge,MA,02140,3101,MIDDLESEX,-71.137459,42.393616,56925
-71.033653,42.270241,Squantum Market & Liquors,203 W Squantum St,,Quincy,MA,02171,2550,NORFOLK,-71.033653,42.270241,57030
-71.165764,42.460865,Walgreens 17938,350 Cambridge Rd,,Woburn,MA,01801,6037,MIDDLESEX,-71.165764,42.460865,57042
-71.195168,42.370907,CVS PHARMACY  1012,2743 Main St,,Watertown,MA,02472,4326,MIDDLESEX,-71.195168,42.370907,57053
-71.129784,42.50433,MARKET BASKET 20,310 Mishawum Rd,,Woburn,MA,01801,2019,MIDDLESEX,-71.129784,42.50433,57061
-72.613716,42.200802,Holyoke Market,648 High St,,Holyoke,MA,01040,5245,HAMPDEN,-72.613716,42.200802,57096
-72.619766,42.203251,Quickstop Food Mart,172 Sargeant St,,Holyoke,MA,01040,3868,HAMPDEN,-72.619766,42.203251,57101
-72.569359,42.137199,Racing Mart,1037 Saint James Ave,,Springfield,MA,01104,1309,HAMPDEN,-72.569359,42.137199,57103
-70.558067,41.455631,RELIABLE SELF-SERVICE MARKET INC,36 Circuit Ave,,Oak Bluffs,MA,02557,,DUKES,-70.558067,41.455631,57151
-70.031166,41.938076,Wellfleet Marketplace,295 Main St,,Wellfleet,MA,02667,7432,BARNSTABLE,-70.031166,41.938076,57212
-71.07943,42.415318,Dollar Tree 4289,11 Highland Ave,,Malden,MA,02148,6603,MIDDLESEX,-71.07943,42.415318,57508
-70.885056,42.586239,Stop & Shop 32,37 Enon St,,Beverly,MA,01915,1146,ESSEX,-70.885056,42.586239,57695
-70.942596,41.677208,Ocean State Job Lot 212,1068 Kings Hwy,,New Bedford,MA,02745,4949,BRISTOL,-70.942596,41.677208,57753
-71.046883,42.433216,Essex Farm,655 Salem St,,Malden,MA,02148,4301,MIDDLESEX,-71.046883,42.433216,57935
-72.608627,42.098881,Asian Mart,753 Union St,Unit A,West Springfield,MA,01089,4116,HAMPDEN,-72.608627,42.098881,58250
-72.628456,42.092541,Ezee Mart N/A,83 River St,Ste 101,West Springfield,MA,01089,3670,HAMPDEN,-72.628456,42.092541,58257
-72.628433,42.129967,Ezee Mart,50 Morgan Rd,,West Springfield,MA,01089,1410,HAMPDEN,-72.628433,42.129967,58262
-71.65802,42.112923,Crystal Gas,175 Church St,,Whitinsville,MA,01588,1417,WORCESTER,-71.65802,42.112923,58350
-70.897408,41.644798,Cumberland Farms 2244,95 Huttleston Ave,,Fairhaven,MA,02719,3156,BRISTOL,-70.897408,41.644798,58447
-70.9431,41.676682,Dollar Tree 4124,950 Kings Hwy,Ste 1,New Bedford,MA,02745,4948,BRISTOL,-70.9431,41.676682,58448
-71.176079,42.706463,Union Supermarket II,473 Haverhill St,,Lawrence,MA,01841,4202,ESSEX,-71.176079,42.706463,58530
-71.722115,42.327042,"Boylston Gas and Market, LLC 219",270 Shrewsbury St,,Boylston,MA,01505,1403,WORCESTER,-71.722115,42.327042,58533
-71.181976,42.700645,Tower Hill Mini Mart Inc,99 Ames St,,Lawrence,MA,01841,4404,ESSEX,-71.181976,42.700645,58675
-70.131554,41.257465,"Bartlett's Ocean View Farm, Inc.",33 Bartlett Farm Rd,,Nantucket,MA,02554,4341,NANTUCKET,-70.131554,41.257465,58700
-70.927811,41.668694,Costas Mini Mart,138 Belleville Rd,,New Bedford,MA,02745,5900,BRISTOL,-70.927811,41.668694,58962
-72.553688,42.05637,CVS PHARMACY  517,746 Bliss Rd,,Longmeadow,MA,01106,1557,HAMPDEN,-72.553688,42.05637,59016
-71.062279,41.877735,Speedway 2432,943 County St,,Taunton,MA,02780,6949,BRISTOL,-71.062279,41.877735,59114
-70.241653,41.650585,CVS Pharmacy 4313,438 Route 28,,West Yarmouth,MA,02673,4840,BARNSTABLE,-70.241653,41.650585,59231
-71.079247,42.412514,BJ's Wholesale Club 1,278 Middlesex Ave,,Medford,MA,02155,5089,MIDDLESEX,-71.079247,42.412514,59363
-71.90844,42.246597,Crossroads Marketplace,1060 Main St,,Leicester,MA,01524,1355,WORCESTER,-71.90844,42.246597,59486
-71.172813,42.709599,Calderon Supermarket Restaurant & Deli,296 Broadway,,Lawrence,MA,01841,,ESSEX,-71.172813,42.709599,59518
-71.168526,42.710632,Fraylin Grocery Store Inc,232 Hampshire St,,Lawrence,MA,01841,3626,ESSEX,-71.168526,42.710632,59539
-70.840187,42.681614,"Cumberland Farms, Inc 6684",70 Central St,,Ipswich,MA,01938,1951,ESSEX,-70.840187,42.681614,59549
-71.120392,41.888996,Dollar Tree 1434,294 Winthrop St,,Taunton,MA,02780,4306,BRISTOL,-71.120392,41.888996,59556
-71.090157,41.926014,Walt's Auto Center Inc,286 Broadway,,Taunton,MA,02780,1533,BRISTOL,-71.090157,41.926014,59567
-71.093636,41.904121,Taunton Service & Convenience Express,48 Broadway,,Taunton,MA,02780,3121,BRISTOL,-71.093636,41.904121,59575
-71.209068,42.598923,Tewksbury Community Market,288 Livingston St,,Tewksbury,MA,01876,4509,MIDDLESEX,-71.209068,42.598923,59602
-71.165047,42.460442,WHOLE FOODS MARKET 10233,400 Cambridge Rd,,Woburn,MA,01801,6043,MIDDLESEX,-71.165047,42.460442,59626
-71.171417,42.715122,Gigante Meat Market 2 2,388 Hampshire St,,Lawrence,MA,01841,3110,ESSEX,-71.171417,42.715122,59635
-71.157845,42.362946,Target 1442,550 Arsenal St,Ste 1,Watertown,MA,02472,2844,MIDDLESEX,-71.157845,42.362946,59667
-71.151131,42.482964,Lucky Mart,510 Main St,,Woburn,MA,01801,4238,MIDDLESEX,-71.151131,42.482964,59674
-71.150978,42.480999,Family Dollar Store 3578,431 Main St,,Woburn,MA,01801,4239,MIDDLESEX,-71.150978,42.480999,59676
-71.087593,42.346931,7-eleven 37369A,141 Massachusetts Ave,,Boston,MA,02115,2607,SUFFOLK,-71.087593,42.346931,59776
-71.157623,42.283981,CVS PHARMACY 117,1921 Centre St,,West Roxbury,MA,02132,2516,SUFFOLK,-71.157623,42.283981,59777
-71.157753,42.371445,7 Eleven 32461,650 Mount Auburn St,,Watertown,MA,02472,2019,MIDDLESEX,-71.157753,42.371445,59811
-71.17131,42.713943,"La Familia Dorada, Llc",352 Hampshire St,,Lawrence,MA,01841,3108,ESSEX,-71.17131,42.713943,59819
-71.151169,42.480713,CVS Pharmacy 665,415 Main St,,Woburn,MA,01801,4239,MIDDLESEX,-71.151169,42.480713,59820
-71.164467,42.715576,Super Mass,163 Lawrence St,,Lawrence,MA,01841,2652,ESSEX,-71.164467,42.715576,59898
-71.120087,41.888626,CVS PHARMACY  41,284 Winthrop St,,Taunton,MA,02780,4340,BRISTOL,-71.120087,41.888626,59956
-71.066711,41.884392,CVS Pharmacy 1041,675 County St,,Taunton,MA,02780,3701,BRISTOL,-71.066711,41.884392,59961
-71.088402,42.40905,Ocean State Job Lot 242,30 Commercial St,,Medford,MA,02155,4924,MIDDLESEX,-71.088402,42.40905,60164
-72.009651,42.477688,Hubbardston Market,32 Main St,,HUBBARDSTON,MA,01452,,WORCESTER,-72.009651,42.477688,60288
-71.155586,42.349167,PALACE SPA,415 Washington St,,Brighton,MA,02135,2731,SUFFOLK,-71.155586,42.349167,60356
-71.169197,42.3507,Brighton Winter Farmer's Market NAFMNP,640 Washington St,,Brighton,MA,02135,1646,SUFFOLK,-71.169197,42.3507,60520
-71.700905,42.10582,Walmart SUPERCENTER 2629,100 Valley Pkwy,,Whitinsville,MA,01588,1743,WORCESTER,-71.700905,42.10582,60784
-71.091866,42.379345,Lucky Corner Convenience Store,210 Washington St,,Somerville,MA,02143,3114,MIDDLESEX,-71.091866,42.379345,60891
-71.140175,41.695465,Walgreens 19124,933 PLEASANT STREET,,FALL RIVER,MA,02723,1005,BRISTOL,-71.140175,41.695465,61261
-71.15493,42.349178,DANIELS BAKERY,395 Washington St,,Brighton,MA,02135,2731,SUFFOLK,-71.15493,42.349178,61271
-71.136879,41.692974,Flint Food Variety,1174 Pleasant St,,Fall River,MA,02723,1711,BRISTOL,-71.136879,41.692974,61323
-70.997894,42.152294,Holbrook Market,247 Plymouth St,,Holbrook,MA,02343,1928,NORFOLK,-70.997894,42.152294,61378
-70.241524,41.650524,Speedway 2438,441 Route 28,,West Yarmouth,MA,02673,4844,BARNSTABLE,-70.241524,41.650524,61396
-70.856453,42.49847,"CVS PHARMACY, INC 314",45 Atlantic Ave,,Marblehead,MA,01945,3103,ESSEX,-70.856453,42.49847,61457
-70.86599,42.493305,Bapa Convenience Inc,29 Smith St,,Marblehead,MA,01945,2051,ESSEX,-70.86599,42.493305,61465
-70.861313,42.497421,Marblehead Farmers' Market,217 Pleasant St,,Marblehead,MA,01945,2251,ESSEX,-70.861313,42.497421,61471
-70.851578,42.510502,Farm Direct Co-Op,4 Beringer Way,,Marblehead,MA,01945,,ESSEX,-70.851578,42.510502,61475
-71.824425,42.258995,Big Y Supermarkets 43,100 Mayfield St,,Worcester,MA,01602,3453,WORCESTER,-71.824425,42.258995,61575
-71.833588,42.264214,7-Eleven 34429A,121 June St,,Worcester,MA,01602,2948,WORCESTER,-71.833588,42.264214,61586
-71.851807,42.275635,Cumberland Farms 0119,616 Chandler St,,Worcester,MA,01602,1733,WORCESTER,-71.851807,42.275635,61588
-71.129173,42.675613,CVS Pharmacy Inc. 1239,110 Turnpike St,,North Andover,MA,01845,5041,ESSEX,-71.129173,42.675613,61598
-71.133957,42.678146,Walgreens 10209,800 Waverley Rd,,North Andover,MA,01845,5047,ESSEX,-71.133957,42.678146,61698
-71.149559,42.355503,CVS Pharmacy 3890,207 Market St,,Brighton,MA,02135,1920,SUFFOLK,-71.149559,42.355503,61809
-72.160736,42.057095,New Holland Market,130 Mashapaug Rd,,Holland,MA,01521,2516,HAMPDEN,-72.160736,42.057095,62340
-71.132996,41.702671,Stop And Save,340 Oak Grove Ave,,Fall River,MA,02723,2730,BRISTOL,-71.132996,41.702671,62454
-71.137924,41.694065,Aney In Market,1090 Pleasant St,,Fall River,MA,02723,1610,BRISTOL,-71.137924,41.694065,62546
-70.665863,41.759834,"Cranberry Plaza Enterprise, Llc 2655974",2900 Cranberry Hwy,,East Wareham,MA,02538,1300,PLYMOUTH,-70.665863,41.759834,62619
-71.103241,42.375813,Whole Foods Market 10511,45 Beacon St,,Somerville,MA,02143,4323,MIDDLESEX,-71.103241,42.375813,62668
-71.180702,42.217762,LAMBERT'S RAINBOW FRUIT,220 Providence Hwy,,Westwood,MA,02090,1908,NORFOLK,-71.180702,42.217762,62851
-71.84668,42.255699,EDGEMERE MINI MART,288 Mill St,,Worcester,MA,01602,3113,WORCESTER,-71.84668,42.255699,62853
-71.150749,42.3363,7-Eleven Store 32467 32467,2002 Beacon St,,Brighton,MA,02135,7795,SUFFOLK,-71.150749,42.3363,63077
-71.066483,42.377113,777 Convenience Store,269 Main St,,Charlestown,MA,02129,2923,SUFFOLK,-71.066483,42.377113,63117
-71.173485,41.737865,Lil Audrey's,1159 Read St,,Somerset,MA,02726,2439,BRISTOL,-71.173485,41.737865,63135
-71.136314,41.692364,7-Eleven 37370H,1237 Pleasant St,,Fall River,MA,02723,1714,BRISTOL,-71.136314,41.692364,63227
-71.011093,42.049294,Cumberland Farms 2323,1813 Main St,,Brockton,MA,02301,7160,PLYMOUTH,-71.011093,42.049294,63248
-71.018501,42.07151,BROCKTON FISH MARKET,689 Main St,,Brockton,MA,02301,6041,PLYMOUTH,-71.018501,42.07151,63272
-71.138496,41.689289,ORIENTAL FOOD MARKET,418 QUEQUECHAN ST,,FALL RIVER,MA,02723,1632,BRISTOL,-71.138496,41.689289,63386
-71.066093,42.374722,Whole Foods Market 10509,50 Austin St,,Charlestown,MA,02129,3507,SUFFOLK,-71.066093,42.374722,63524
-71.28495,41.935196,Family Dollar Store 2421,217 S Main St,,Attleboro,MA,02703,,BRISTOL,-71.28495,41.935196,63742
-71.103081,42.388588,Sathi Convenience Store,153 Highland Ave,,Somerville,MA,02143,1613,MIDDLESEX,-71.103081,42.388588,64114
-71.099411,42.380787,Union Square Farmers Market,366 Somerville Ave,,Somerville,MA,02143,2919,MIDDLESEX,-71.099411,42.380787,64136
-71.017639,42.097614,Alprime Energy - Montello 115,570 N Montello St,,Brockton,MA,02301,2438,PLYMOUTH,-71.017639,42.097614,64138
